Problema,n,K,m,Iter,|LRC|,z,S,CPU
max_div_20_3.txt,20,3,5,20,2,2.9152600047346517,"{[4.32 4.61 6.17], [8.87 9.56 5.34], [4.84 9.69 4.9 ], [3.86 6.33 4.46]}",0.10970480000105454
max_div_20_3.txt,20,3,5,20,3,3.1016818601319276,"{[7.39 2.44 5.52], [0.96 7.43 5.55], [4.84 9.69 4.9 ], [3.86 6.33 4.46], [0.83 7.06 3.34]}",0.1279709999998886
max_div_30_2.txt,30,2,2,10,2,3.3369996582013157,"{[4.59 3.02], [1.91 9.6 ], [8.   1.53], [9.32 5.14], [3.45 7.04], [4.42 5.73]}",0.055593900000530994
max_div_30_2.txt,30,2,2,10,3,3.5251981453188908,"{[6.8  2.94], [1.37 8.09], [8.   1.53], [9.32 5.14]}",0.0434265999992931
max_div_30_2.txt,30,2,2,20,2,3.222107549597559,"{[5.73 2.29], [1.91 9.6 ], [8.   1.53], [9.32 5.14], [3.45 7.04], [4.42 5.73], [7.95 3.  ], [8.08 4.73], [3.81 2.5 ]}",0.09735000000000582
max_div_30_2.txt,30,2,2,20,3,3.106214437093382,"{[1.05 2.84], [9.32 5.14], [1.91 9.6 ], [3.45 7.04], [4.42 5.73]}",0.09555669999826932
max_div_30_2.txt,30,2,3,10,2,3.8248665720722577,"{[3.99 7.85], [8.   1.53], [1.37 8.09]}",0.04670169999917562
max_div_30_2.txt,30,2,3,10,3,3.4406414321020713,"{[1.37 8.09], [9.32 5.14], [2.07 0.27], [1.91 9.6 ], [3.45 7.04], [4.42 5.73]}",0.10996109999905457
max_div_30_2.txt,30,2,3,20,2,3.579218165541716,"{[8.08 4.73], [1.91 9.6 ], [8.   1.53], [9.32 5.14]}",0.09839119999924151
max_div_30_2.txt,30,2,3,20,3,3.4611103663134575,"{[8.08 4.73], [1.37 8.09], [8.   1.53], [9.32 5.14]}",0.08344489999944926
max_div_30_2.txt,30,2,4,10,2,3.4530091406562926,"{[8.08 4.73], [0.65 3.26], [8.4  7.98], [9.32 5.14]}",0.043897999999899184
max_div_30_2.txt,30,2,4,10,3,3.432663031672226,"{[7.93 7.11], [2.02 1.36], [8.4  7.98], [9.32 5.14]}",0.04452340000170807
max_div_30_2.txt,30,2,4,20,2,3.3369996582013157,"{[4.59 3.02], [1.91 9.6 ], [8.   1.53], [9.32 5.14], [3.45 7.04], [4.42 5.73]}",0.08736749999843596
max_div_30_2.txt,30,2,4,20,3,2.613124863519407,"{[2.19 6.03], [9.32 5.14], [1.91 9.6 ], [3.45 7.04], [4.42 5.73]}",0.08673749999979918
max_div_30_2.txt,30,2,5,10,2,3.4530091406562926,"{[8.08 4.73], [0.65 3.26], [8.4  7.98], [9.32 5.14]}",0.044144600000436185
max_div_30_2.txt,30,2,5,10,3,3.7765800185172225,"{[1.91 9.6 ], [7.95 3.  ], [2.93 9.25]}",0.04253009999956703
max_div_30_2.txt,30,2,5,20,2,3.473239566917308,"{[7.26 7.45], [2.02 1.36], [8.4  7.98], [9.32 5.14]}",0.08706320000055712
max_div_30_2.txt,30,2,5,20,3,2.613124863519407,"{[2.19 6.03], [9.32 5.14], [1.91 9.6 ], [3.45 7.04], [4.42 5.73]}",0.12985789999947883
max_div_30_3.txt,30,3,2,10,2,4.482297926884548,"{[1.53 8.09 9.56], [6.75 0.07 1.8 ], [1.53 8.09 9.56], [0.92 3.37 5.61], [4.19 7.95 7.62]}",0.060503000000608154
max_div_30_3.txt,30,3,2,10,3,4.155682200926528,"{[2.04 4.68 7.22], [8.39 1.48 1.35], [1.53 8.09 9.56], [0.92 3.37 5.61], [4.19 7.95 7.62]}",0.05947829999968235
max_div_30_3.txt,30,3,2,20,2,4.077574456155526,"{[3.06 4.78 5.41], [9.99 4.4  9.76], [3.26 6.63 1.22], [0.92 3.37 5.61], [4.19 7.95 7.62]}",0.11762120000094001
max_div_30_3.txt,30,3,2,20,3,4.198499321488339,"{[6.04 8.96 7.83], [8.32 2.05 2.68], [7.47 8.56 9.58]}",0.09207020000030752
max_div_30_3.txt,30,3,3,10,2,4.333044623113582,"{[7.08 4.64 3.09], [7.54 8.93 9.66], [8.39 1.48 1.35]}",0.04481200000009267
max_div_30_3.txt,30,3,3,10,3,4.271792556520607,"{[1.17 6.59 5.8 ], [8.39 1.48 1.35], [1.53 8.09 9.56], [0.92 3.37 5.61], [4.19 7.95 7.62]}",0.051892000001316774
max_div_30_3.txt,30,3,3,20,2,4.077574456155526,"{[3.06 4.78 5.41], [9.99 4.4  9.76], [3.26 6.63 1.22], [0.92 3.37 5.61], [4.19 7.95 7.62]}",0.11078350000025239
max_div_30_3.txt,30,3,3,20,3,3.988758934166236,"{[2.04 4.68 7.22], [9.16 7.28 1.93], [1.53 8.09 9.56], [0.92 3.37 5.61], [4.19 7.95 7.62]}",0.09292350000032457
max_div_30_3.txt,30,3,4,10,2,4.077574456155526,"{[3.06 4.78 5.41], [9.99 4.4  9.76], [3.26 6.63 1.22], [0.92 3.37 5.61], [4.19 7.95 7.62]}",0.04866109999966284
max_div_30_3.txt,30,3,4,10,3,3.9824835972584913,"{[3.06 4.78 5.41], [8.32 0.47 8.98], [3.26 6.63 1.22], [0.92 3.37 5.61], [4.19 7.95 7.62]}",0.0517163000004075
max_div_30_3.txt,30,3,4,20,2,4.290573040871509,"{[4.33 7.35 3.37], [6.71 0.35 9.42], [3.26 6.63 1.22], [0.92 3.37 5.61], [4.19 7.95 7.62]}",0.1043521999999939
max_div_30_3.txt,30,3,4,20,3,4.290573040871509,"{[4.33 7.35 3.37], [6.71 0.35 9.42], [3.26 6.63 1.22], [0.92 3.37 5.61], [4.19 7.95 7.62]}",0.08959150000009686
max_div_30_3.txt,30,3,5,10,2,4.333044623113582,"{[7.08 4.64 3.09], [7.54 8.93 9.66], [8.39 1.48 1.35]}",0.04843769999934011
max_div_30_3.txt,30,3,5,10,3,4.214029113253098,"{[4.33 7.35 3.37], [8.32 0.47 8.98], [3.88 9.46 5.65], [0.92 3.37 5.61], [4.19 7.95 7.62]}",0.05305659999976342
max_div_30_3.txt,30,3,5,20,2,4.453498908814043,"{[6.97 5.89 3.84], [6.71 0.35 9.42], [3.26 6.63 1.22]}",0.14376439999978174
max_div_30_3.txt,30,3,5,20,3,4.214029113253098,"{[4.33 7.35 3.37], [8.32 0.47 8.98], [3.88 9.46 5.65], [0.92 3.37 5.61], [4.19 7.95 7.62]}",0.11573569999927713
